,center,gridID,num_establishments,num_liquor_stores,num_restaurants,num_stores,num_bars
121,"[40.591333400227406, -73.86613240095116]",38006,0,0,0,0,0
122,"[40.591333400227406, -73.86423879331493]",38235,0,0,0,0,0
123,"[40.5927713330958, -73.86613240095116]",38005,0,0,0,0,0
124,"[40.5927713330958, -73.86423879331493]",38234,0,0,0,0,0
125,"[40.5927713330958, -73.86234518567869]",38463,0,0,0,0,0
126,"[40.5942092350422, -73.86613240095116]",38004,0,0,0,0,0
127,"[40.5942092350422, -73.86423879331493]",38233,0,0,0,0,0
128,"[40.5942092350422, -73.86234518567869]",38462,0,0,0,0,0
129,"[40.59708494616797, -73.86045157804247]",38689,0,0,0,0,0
130,"[40.59564710606633, -73.86045157804247]",38690,0,0,0,0,0
131,"[40.59708494616797, -73.86234518567869]",38460,0,0,0,0,0
132,"[40.59564710606633, -73.86234518567869]",38461,0,0,0,0,0
133,"[40.59564710606633, -73.86613240095116]",38003,0,0,0,0,0
134,"[40.59564710606633, -73.86423879331493]",38232,0,0,0,0,0
135,"[40.59708494616797, -73.86613240095116]",38002,0,0,0,0,0
136,"[40.59708494616797, -73.86423879331493]",38231,0,0,0,0,0
137,"[40.59852275534688, -73.86234518567869]",38459,0,0,0,0,0
138,"[40.59852275534688, -73.86613240095116]",38001,0,0,0,0,0
139,"[40.59852275534688, -73.86423879331493]",38230,0,0,0,0,0
140,"[40.599960533602825, -73.86613240095116]",38000,0,0,0,0,0
141,"[40.599960533602825, -73.86423879331493]",38229,0,0,0,0,0
142,"[40.599960533602825, -73.86234518567869]",38458,0,0,0,0,0
143,"[40.599960533602825, -73.86045157804247]",38687,0,0,0,0,0
144,"[40.59852275534688, -73.86045157804247]",38688,0,0,0,0,0
145,"[40.59852275534688, -73.85855797040624]",38917,0,0,0,0,0
146,"[40.59852275534688, -73.85666436277]",39146,0,0,0,0,0
147,"[40.59708494616797, -73.85666436277]",39147,0,0,0,0,0
148,"[40.59708494616797, -73.85855797040624]",38918,0,0,0,0,0
149,"[40.59564710606633, -73.85855797040624]",38919,0,0,0,0,0
150,"[40.59564710606633, -73.85666436277]",39148,0,0,0,0,0
151,"[40.59564710606633, -73.8547707551338]",39377,0,0,0,0,0
152,"[40.5942092350422, -73.85287714749757]",39607,0,0,0,0,0
153,"[40.59564710606633, -73.85287714749757]",39606,0,0,0,0,0
154,"[40.59708494616797, -73.85287714749757]",39605,0,0,0,0,0
155,"[40.59708494616797, -73.8547707551338]",39376,0,0,0,0,0
156,"[40.59852275534688, -73.8547707551338]",39375,0,0,0,0,0
